#STEM=missing_fw_configs
#VERSION=v20260715
#SOURCE=fw-inv-3-26.csv (748 devices) cross-referenced against fw_config_manifest_v20260715.csv (940 files / 703-device estate)
#ROWS=292
#NOTE=Matching is hostname-based (exact + substring, domain-suffix stripped). Devices with blank hostname in inventory were skipped, not counted as missing.
hostname,ip,vendor,model,tenant,category,status,decommission_status,manager,gap_reason
egc-usw2-teraprod-ftd-02,10.73.65.41,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-usw2-teraprod-ftd-03,10.73.65.35,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-usw2-ztna-nonprod-01,10.143.67.168,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-usw2-ztna-nonprod-02,10.143.67.169,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-usw2-ztna-nonprod-03,10.143.67.170,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-usw2-ztna-nonprod-04,10.143.67.171,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-usw2-ztna-nonprod-05,10.143.67.172,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-usw2-ztna-nonprod-06,10.143.67.167,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-usw2-ztna-prod-01,10.158.21.164,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-usw2-ztna-prod-02,10.158.21.165,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-usw2-ztna-prod-03,10.158.21.166,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-usw2-ztna-prod-04,10.158.21.167,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-usw2-ztna-prod-05,10.158.21.168,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egc-usw2-ztna-prod-06,10.158.21.170,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egcuse4sechubnonprodftd-01,10.236.246.12,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egcuse4sechubnonprodftd-02,10.236.246.13,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egcuse4sechubnonprodftd-03,10.236.246.5,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egcuse4sechubnonprodftd-04,10.236.246.11,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egcuse4sechubprodftd-vpn-vm,10.236.251.248,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egcusw2sechubnonprodftd-01,10.236.246.49,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egcusw2sechubnonprodftd-02,10.236.246.48,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egcusw2sechubnonprodftd-03,10.236.246.50,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egcusw2sechubnonprodftd-04,10.236.246.47,cisco,Cisco Firepower Threat Defense for GCP,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
egcusw2sechubprodftd-vpn-vm,10.236.251.208,cisco,Cisco Firepower Threat Defense for GCP,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
fmc_lab_AZ1_FTD_EASTWEST_1,10.173.17.4:443,cisco,Cisco Firepower Threat Defense for AWS,PBM,Physical,UNKNOWN,,cdo,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
fmc_lab_AZ1_FTD_Peering_1,10.173.15.4:443,cisco,Cisco Firepower Threat Defense for AWS,PBM,Physical,UNKNOWN,,cdo,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
fmc_lab_AZ2_FTD_Egress_2,10.173.13.21:443,cisco,Cisco Firepower Threat Defense for AWS,PBM,Physical,UNKNOWN,,cdo,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
fmc_lab_AZ2_FTD_Ingress_1,10.173.11.53:443,cisco,Cisco Firepower Threat Defense for AWS,PBM,Physical,UNKNOWN,,cdo,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
fmc_lab_AZ2_FTD_Peering_1,10.173.15.20:443,cisco,Cisco Firepower Threat Defense for AWS,PBM,Physical,UNKNOWN,,cdo,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
CBN-SEC-T1B-APS-01,10.26.193.5:443,cisco,ASA5555 (V05),Retail,Physical,ONLINE,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
CBN-SEC-T1B-APS-02,10.26.193.5:443,cisco,ASA5555 (V05),Retail,Physical,Primary - Failed,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
EDA-SEC-M1A-MAT-01-FO,10.37.255.11,Cisco,ASA5555,CVS,Physical,,,Unmanaged,"ON-PREM — genuine config-collection gap, no naming-variant match found"
HOL-SEC-M1A-PCI-01,10.38.64.236:443,cisco,ASA5555 (V04),PBM,Physical,ONLINE,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
HOL-SEC-M1A-PCI-02,10.38.64.236:443,cisco,ASA5555 (V04),PBM,Physical,Primary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
KNV-SEC-M1A-WMS-02,10.193.33.10:443,cisco,ASA5516 (V05),Retail,Physical,Secondary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
LVG-SEC-M1A-PCI-01,10.182.27.221:443,cisco,ASA5555 (V05),PBM,Physical,UNREACHABLE,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
LVG-SEC-M1A-PCI-02,10.182.27.221:443,cisco,ASA5555 (V05),PBM,Physical,Secondary - Failed,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-GUEST-02,10.123.159.33:443,cisco,ASA5555 (V05),PBM,Physical,Secondary - Active,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-NET4WIR-02/Capgemini,10.218.232.38:443,cisco,ASA5585-SSP-60,PBM,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-NET4WIR-02/EPCSVerizon,10.218.232.18:443,cisco,ASA5585-SSP-60,PBM,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-NET4WIR-02/TCS-VLAN88,10.218.232.32:443,cisco,ASA5585-SSP-60,PBM,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-NET4WIR-02/TTEC,10.218.232.42:443,cisco,ASA5585-SSP-60,PBM,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-NET4WIR-02/acs,10.218.232.48:443,cisco,ASA5585-SSP-60,PBM,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-NET4WIR-02/alere,10.218.232.12:443,cisco,ASA5585-SSP-60,PBM,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-NET4WIR-02/apac,10.218.232.50:443,cisco,ASA5585-SSP-60,PBM,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-NET4WIR-02/britishtelecom,10.218.232.44:443,cisco,ASA5585-SSP-60,PBM,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-NET4WIR-02/emdeon,10.218.232.52:443,cisco,ASA5585-SSP-60,PBM,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-NET4WIR-02/serco,10.218.232.16:443,cisco,ASA5585-SSP-60,PBM,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-NET4WIR-02/tcs,10.218.232.20:443,cisco,ASA5585-SSP-60,PBM,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-NET4WIR-02/trizetto,10.218.232.54:443,cisco,ASA5585-SSP-60,PBM,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-RS-02,10.123.254.71:443,cisco,ASA5585-SSP-60,PBM,Physical,Primary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-SDWAN-02,10.10.124.33:443,cisco,FPR4K-SM-12,PBM,Physical,Secondary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-EXT-WFH-02,10.10.109.166:443,cisco,ASA5555 (V01),PBM,Physical,Primary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-INT-SEMA-02,10.218.26.132:443,cisco,FPR4K-SM-44,PBM,Physical,Primary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-INTPCI-01-vlan100,10.119.173.48,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-INTPCI-01-vlan113,10.119.173.50,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-INTPCI-01-vlan114,10.119.173.52,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-INTPCI-01-vlan33,10.119.173.44,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-INTPCI-01-vlan35,10.119.173.46,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-INTPCI-02-vlan100,10.119.173.49,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-INTPCI-02-vlan113,10.119.173.51,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-INTPCI-02-vlan114,10.119.173.53,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-INTPCI-02-vlan33,10.119.173.45,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-INTPCI-02-vlan35,10.119.173.47,cisco,Cisco Firepower 4145 Threat Defense,PCI,Physical,TRUE,,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PAZSHDC-SEC-INTWIR-02,204.99.62.2:443,cisco,FPR4K-SM-44S,PBM,Physical,Primary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PCARCCMSECINT-01,10.58.0.40:443,cisco,,PBM,Physical,UNREACHABLE,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PCASTPV-SEC-DC-5NINE-FTD-01,10.73.24.217,cisco,Cisco Firepower 4145 Threat Defense,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PCASTPV-SEC-DC-5NINE-FTD-02,10.73.24.218,cisco,Cisco Firepower 4145 Threat Defense,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PGAATCPSECINTSEMA-01,10.38.88.11,Cisco,ASA5555,CVS,Physical,,,Unmanaged,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PGAATCPSECINTSEMA-01-FO,10.38.88.12,Cisco,ASA5555,CVS,Physical,,,Unmanaged,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PGATLPV-SEC-DC-5NINE-FTD-01,10.73.24.91,cisco,Cisco Firepower 4145 Threat Defense,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PGATLPV-SEC-DC-5NINE-FTD-02,10.73.24.92,cisco,Cisco Firepower 4145 Threat Defense,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PIH-SEC-M1A-PCI-01,10.84.241.11:443,cisco,ASA5555 (V04),PBM,Physical,ONLINE,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PIH-SEC-M1A-PCI-02,10.84.241.11:443,cisco,ASA5555 (V04),PBM,Physical,Primary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PPRCASP-SEC-MDF-SEMA-01-A,10.30.86.149,cisco,Cisco Firepower 2130 Threat Defense,PCI,Physical,TRUE,,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PPRCASP-SEC-MDF-SEMA-01-S,10.30.86.150,cisco,Cisco Firepower 2130 Threat Defense,PCI,Physical,TRUE,,rricmdc-sec-mgt-prd-pci-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PRIWSDRSECEXTCA32-1-FTD,10.45.143.254,cisco,Cisco Firepower 4150 Threat Defense,Retail,Physical,TRUE,,rricmdc-sec-int-prd-mgt-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PTNBNCPSECINTSEMA-01.cvs.com,10.38.84.33,Cisco,ASA5555,CVS,Physical,,,Unmanaged,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PTNBNCPSECINTSEMA-01.cvs.com-FO,10.38.84.34,Cisco,ASA5555,CVS,Physical,,,Unmanaged,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PTXCMCC-SEC-MDF-PCI-01,10.24.248.236:443,cisco,ASA5555 (V04),PBM,Physical,UNREACHABLE,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
PTXCMCC-SEC-MDF-PCI-02,10.24.248.236:443,cisco,ASA5555 (V04),PBM,Physical,Secondary - Failed,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RCALHDI-SEC-MDF-INT-02,10.195.1.10:443,cisco,ASA5516 (V05),Retail,Physical,Primary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RFLVBDI-SEC-MDF-INT-02,10.192.97.10:443,cisco,ASA5516 (V05),Retail,Physical,Secondary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RNYWVDI-SEC-MDF-INT-02,10.191.65.10:443,cisco,ASA5516 (V05),Retail,Physical,Primary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RPASTDI-SEC-MDF-INT-02,10.191.33.10:443,cisco,ASA5516 (V05),Retail,Physical,Secondary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRICMCP-SEC-MPLEAST-02,10.18.126.251:443,cisco,ASA5585-SSP-60,Retail,Physical,Primary,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRICMCP-SEC-MPLEAST-02/TTEC,10.0.127.28:443,cisco,ASA5585-SSP-60,Retail,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRICMCP-SEC-MPLEAST-02/britishtelecom,10.0.127.22:443,cisco,ASA5585-SSP-60,Retail,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRICMCP-SEC-MPLEAST-02/continuum,10.0.127.36:443,cisco,ASA5585-SSP-60,Retail,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRICMCP-SEC-MPLEAST-02/convey,10.0.127.12:443,cisco,ASA5585-SSP-60,Retail,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRICMCP-SEC-MPLEAST-02/endeavor,10.0.127.18:443,cisco,ASA5585-SSP-60,Retail,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRICMCP-SEC-MPLEAST-02/ext-cloud,10.0.127.20:443,cisco,ASA5585-SSP-60,Retail,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRICMCP-SEC-MPLEAST-02/geneva,10.0.127.34:443,cisco,ASA5585-SSP-60,Retail,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRICMCP-SEC-MPLEAST-02/grandview,10.0.127.31:443,cisco,ASA5585-SSP-60,Retail,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRICMCP-SEC-MPLEAST-02/mckesson,10.0.127.24:443,cisco,ASA5585-SSP-60,Retail,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRICMCP-SEC-MPLEAST-02/merwin,10.0.127.14:443,cisco,ASA5585-SSP-60,Retail,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRICMCP-SEC-MPLEAST-02/tcs,10.0.127.8:443,cisco,ASA5585-SSP-60,Retail,Physical,Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWFDI-SEC-MDF-INT-02,10.190.1.10:443,cisco,ASA5516 (V05),Retail,Physical,Primary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWNCP-SEC-INTPRT-02,10.137.44.10:443,cisco,ASA5525 (V04),Retail,Physical,Primary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSCP-SEC-EXT-AET-02,10.0.2.249:443,cisco,FPR-2140,Retail,Physical,Primary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSCP-SEC-EXT-VF-01-FO.cvs.com,168.233.112.6,Cisco,ASA5550,CVS,Physical,,,Unmanaged,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSCP-SEC-EXT-VF-01.cvs.com,168.233.112.5,Cisco,ASA5550,CVS,Physical,,,Unmanaged,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSCP-SEC-EXT-VPN-01,10.17.7.12:443,cisco,ASA5555 (V02),Retail,Physical,UNREACHABLE,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSCP-SEC-EXT-VPN-02,10.17.7.12:443,cisco,ASA5555 (V02),Retail,Physical,Secondary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSCP-SEC-EXT-WFH-02,192.168.251.116:443,cisco,ASA5555 (V03),Retail,Physical,Primary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSCP-SEC-INT-EMPTEMP-01,10.17.209.107,cisco,Cisco Firepower 9000 Series SM-56 Threat Defense,Retail,Physical,TRUE,,rricmdc-sec-int-prd-mgt-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSCP-SEC-STORELAB-01-RSIA,10.134.163.12,cisco,Cisco Firepower 4115 Threat Defense,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSCP-SEC-STORELAB-02-RSIA,10.134.163.15,cisco,Cisco Firepower 4115 Threat Defense,Dev,Physical,TRUE,,rricmdcsecfmcnonprod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSDC-SEC-EXT-SDWAN-02,10.17.208.118:443,cisco,FPR4K-SM-12,Retail,Physical,Secondary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSDC-SEC-INT-VIEW-02,10.18.104.10:443,cisco,ASA5516 (V05),Retail,Physical,Secondary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSDC-SEC-INT-VPN-02,10.131.2.36:443,cisco,ASA5555 (V04),Retail,Physical,Primary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSDC-SEC-INT121B-01/admin,10.27.27.240:443,cisco,ASA5585-SSP-40,PBM,Physical,UNREACHABLE,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSDC-SEC-INT121B-01/pbm-retail,10.27.27.9:443,cisco,FPR4K-SM-44S,PBM,Physical,ONLINE,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSDC-SEC-INT121B-02/admin,10.27.27.240:443,cisco,ASA5585-SSP-40,PBM,Physical,Secondary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSDC-SEC-INT121B-02/pbm-retail,10.27.27.9:443,cisco,FPR4K-SM-44S,PBM,Physical,Secondary - Standby Ready,,cdo,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSLBSECINTSEMA-01,10.134.163.9,Cisco,ASA5555,CVS,Physical,,,Unmanaged,"ON-PREM — genuine config-collection gap, no naming-variant match found"
RRIWSLBSECINTSEMA-01-FO,10.134.163.10,Cisco,ASA5555,CVS,Physical,,,Unmanaged,"ON-PREM — genuine config-collection gap, no naming-variant match found"
aws-use1nonprd-ingress-01,10.207.100.176,palo_alto,PA-VM,pano,Virtual,no,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
aws-use1nonprd-ingress-03,10.207.101.116,palo_alto,PA-VM,pano,Virtual,no,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
aws-use2nonprod-ingress-01,10.207.228.130,palo_alto,PA-VM,pano,Virtual,no,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
aws-use2nonprod-ingress-03,10.207.229.229,palo_alto,PA-VM,pano,Virtual,no,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
egcuse4nonprd-ingress-2-0-vm-01,10.243.0.34,palo_alto,PA-VM,pano,Virtual,yes,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
egcuse4nonprd-ingress-2-0-vm-03,10.243.0.36,palo_alto,PA-VM,pano,Virtual,yes,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
egcuse4nonprd-ingress-2-0-vm-04,10.243.0.37,palo_alto,PA-VM,pano,Virtual,yes,,pazshdc-sec-pan-prod-01.corp.cvscaremark.com,"ON-PREM — genuine config-collection gap, no naming-variant match found"
