#STEM=missing_fw_configs
#VERSION=v20260715
#SOURCE=fw-inv-3-26.csv (748 devices) cross-referenced against fw_config_manifest_v20260715.csv (940 files / 703-device estate)
#ROWS=292
#NOTE=Matching is hostname-based (exact + substring, domain-suffix stripped). Devices with blank hostname in inventory were skipped, not counted as missing.
hostname,ip,vendor,model,tenant,category,status,decommission_status,manager,gap_reason
win-fw-services-b,206.213.199.213,checkpoint,23000 Appliances,HCB,Physical,communicating,,domain_grp1,CHECKPOINT — config not collected (some Checkpoint devices ARE collected; this one is not)
azhtrust01-vmss_11,10.223.128.15,cisco,Cisco Firepower Threat Defense for Azure,High_Trust,Physical,,,rricmdcsecfmcnonprod-01.cvshealth.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhtrust01-vmss_12,10.223.128.16,cisco,Cisco Firepower Threat Defense for Azure,High_Trust,Physical,,,rricmdcsecfmcnonprod-01.cvshealth.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhtrust01-vmss_13,10.223.128.17,cisco,Cisco Firepower Threat Defense for Azure,High_Trust,Physical,,,rricmdcsecfmcnonprod-01.cvshealth.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhtrust01-vmss_14,10.223.128.18,cisco,Cisco Firepower Threat Defense for Azure,High_Trust,Physical,,,rricmdcsecfmcnonprod-01.cvshealth.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhtrust02-vmss_14,10.223.192.13,cisco,Cisco Firepower Threat Defense for Azure,High_Trust,Physical,,,rricmdcsecfmcnonprod-01.cvshealth.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhtrust02-vmss_15,10.223.192.14,cisco,Cisco Firepower Threat Defense for Azure,High_Trust,Physical,,,rricmdcsecfmcnonprod-01.cvshealth.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhtrust02-vmss_16,10.223.192.15,cisco,Cisco Firepower Threat Defense for Azure,High_Trust,Physical,,,rricmdcsecfmcnonprod-01.cvshealth.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhtrust02-vmss_17,10.223.192.16,cisco,Cisco Firepower Threat Defense for Azure,High_Trust,Physical,,,rricmdcsecfmcnonprod-01.cvshealth.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub000-vmss_10,10.155.44.12,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub000-vmss_7,10.155.44.9,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub000-vmss_8,10.155.44.10,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub000-vmss_9,10.155.44.11,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub001-vmss_10,10.155.44.8,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub001-vmss_6,10.155.44.4,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub001-vmss_8,10.155.44.6,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub001-vmss_9,10.155.44.7,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub002-vmss_12,10.155.172.8,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
azhub002-vmss_14,10.155.172.15,cisco,Cisco Firepower Threat Defense for Azure,PCI Cloud,Physical,TRUE,,rriwsdcseccldfmc-02.corp.cvscaremark.com,CLOUD-FTD (GCP/Azure/AWS) — likely outside on-prem config-collection pipeline scope
